nombreVacante,area,nivelPuesto
Chofer de reparto en ruta,Logística,Operativo
SUPERVISORA DE VENTAS,Comercialización,Técnico especializado
Supervisores/ras y Capacitadores/ras-Asistentes Electorales,Operativo,Operativo
Chofer de 12 toneladas,Logística,Operativo
Ingeniero de Producto,Producción,Mandos medios
Operador de maquinaria industrial,Producción,Operativo
OPERADOR DE PRODUCCION,Producción,Operativo
Cajero de máquina registradora,Comercialización,Operativo
Especialista en DWH e inteligencia de Negocios,Informática,Mandos medios
Operador de máquina fresadora y troqueladora ,Producción,Operativo
Ayudante general ,Producción,Operativo
Auxiliar centro de tienda,Operativo,Operativo
Ayudante de soldador,Operativo,Operativo
FONTANERO,Operativo,Operativo
Adornadora ,Operativo,Operativo
Preliminar de avíos,Operativo,Operativo
Practicante de Recusos Humanos,Recursos humanos,Becario
Guardia de seguridad,Operativo,Operativo
Operador de producción,Operativo,Operativo
Asistente administrativo,Administración,Técnico
Agente de ventas mostrador,Operativo,Operativo
ALMACENISTA DE REFACCIONES,Logística,ope
Gerente de control de producción,Producción,Directivos
Ayudante general ,Ayudante general ,Operativo
Guardia de seguridad,Operativo,Operativo
Montacarguista,Logística,Operativo
Ayudante general de operación,Logística,Operativo
ALMACENISTA /SURTIDOR,ALMACEN,Operativo
Chofer,Logística,Operativo
Cajero de máquina registradora,Administración,Mandos medios
Guardia de seguridad,Operativo,Operativo
Auxiliar de seguridad e higiene,Administración,Técnico especializado
Montacarguista en industria metal mecánica,Operativo,Operativo
SUPERVISOR DE PATIO,MANTENIMIENTO ,Operativo
Auxiliar de prevención de pérdidas,Operativo,Operativo
"AYUDANTES GENERALES AREA PINTURA, SOLDADURA, MAQUINADOS",Operativo,Operativo
Analista de inventario,Operativo,Mandos medios
Tecnico de Mantenimiento,Mantenimiento industrial,Técnico especializado
Operador de producción de industria metálica,Producción,Operativo
Ingeniero de desarrollo de productos,Producción,Técnico especializado
Afanador/a,Operativo,Operativo
Representante de ventas,Publicidad y Mercadotecnia,Mandos medios
Telefonista,Operativo,Operativo
Encargado de sucursal,Producción,Operativo
Ayudante general de operación,Producción,Operativo
Especialista de IT,Informática,Mandos medios
Técnico en mantenimiento automotriz,Mantenimiento industrial,Técnico
Mecánico General ,Mantenimiento industrial,Técnico especializado
Diseñador de marroquinería,Administración,Técnico
Ejecutivo Telefónico,Asuntos jurídicos,Mandos medios
Personal de Limpieza,Operativo,Operativo
Practicante de recursos humanos,Recursos humanos,Practicante
Montacarguista,Operativo,Operativo
Recepcionista de hotel,Administración,Técnico
ASESORAS/ES,Asuntos jurídicos,Mandos medios
Jardinero,Operativo,Operativo
AYUDANTE GENERAL ,Producción,Operativo
Almacenista,Administración,Operativo
Especialista de Empaque,Logística,Técnico
Traductor Japones-Inglés-Español,Administración,Mandos medios
Repartidor en motocicleta,Operativo,Operativo
Coordinador de almacén,Operativo,Técnico especializado
Auxiliar administrativo,Administración,Mandos medios
Agente de ventas mostrador,Operativo,Operativo
Inspector de Calidad PT ,Calidad,Técnico
Ayudante de mantenimiento preventivo y correctivo,Mantenimiento industrial,Técnico
Finite Element Analysis Engineer,Diseño Mecanico ,Especialista 
Pespuntador,Producción,Operativo
Auxiliar de almacén,Comercialización,Operativo
Soldador,Producción,Operativo
Charolera,Operativo,Operativo
Auxiliar de almacén,Operativo,Operativo
Operador de producción de industria metálica,Producción,Operativo
Cajero Mixto,Operativo,Operativo
Asesor telefónico medio tiempo,Operativo,Operativo
Tecnico Ajustador,Mantenimiento industrial,Técnico
Asesor de ventas,ventas,Operativo
Ejecutivo de ventas,Administración,Mandos medios
SUPERVISOR DE SEGURIDAD PRIVADA ,Operativo,Operativo
Asesor telefónico general,Finanzas y Contabilidad,Operativo
Ejecutivo de Reclutamiento y Selección ,Recursos humanos,Operativo
ASESORA DE VENTAS,Comercialización,Técnico
Asesor telefónico de Atención a clientes,Operativo,Operativo
Auxiliar contable,Finanzas y Contabilidad,Técnico
Ingeniero de procesos,Producción,Técnico especializado
Gerente de ventas ,Finanzas y Contabilidad,Mandos medios
TECNICO EN HOJALATERIA Y PINTURA,Operativo,Operativo
Auxiliar administrativo,Administración,Mandos medios
Conductor de montacargas,Logística,Operativo
Contador público ,Finanzas y Contabilidad,Mandos medios
Staff de Ingeniería,Mantenimiento industrial,Mandos medios
Asesor telefónico,Comercialización,Operativo
Almacenista,Operativo,Operativo
Técnico en áreas generales,Operativo,Técnico
TÉCNICO INSTALADOR ELECTROMECÁNICO,Mantenimiento industrial,Operativo
asesor de credito,Comercialización,Mandos medios
operador de torton,Logística,Operativo
Ejecutivo de Ventas,Administración,Mandos medios
Chofer de camión repartidor,Logística,Operativo
Cost Analyst,Finanzas y Contabilidad,Mandos medios
Técnico en mantenimiento,Mantenimiento industrial,Técnico especializado
ERP Engineer,Informática,Técnico
Guardia de Seguridad,Operativo,Operativo
Cocinero/a,Producción,Operativo
Ingeniero de calidad en industria manufacturera de plásticos,Calidad,Técnico especializado
Sales Representative A,Comercialización,Técnico especializado
System Engineer in Monterrey,Informática,Técnico
Practicante de Recursos Humanos,Recursos humanos,Practicante
Almacenista,Operativo,Técnico
Ejecutivo de Reclutamiento y Selección ,Recursos humanos,Operativo
Mecánico Diésel,Operativo,Operativo
OPERADOR DE PRODUCCION (NIVEA- DENSO- DNMEX),Operativo,Operativo
Auxiliar de crédito y cobranza,Finanzas y Contabilidad,Técnico especializado
Auxiliar contable,Administración,Técnico
Gerente de contabilidad,Logística,Mandos medios
ASISTENTE DE DIRECCION,Dirección general,Técnico especializado
Auxiliar de lacteos y congelados,Operativo,Operativo
Encargado de turno,Operativo,Operativo
Asesor financiero,Finanzas y Contabilidad,Mandos medios
OPERADOR DE PRODUCCION ,Producción,Operativo
PROMOTOR DE TELEFONIA CELULAR,Comercialización,Operativo
Abogado,Asuntos jurídicos,Mandos medios
Técnico de Mantenimiento Industrial,Mantenimiento industrial,Técnico
Especialista en logística automotriz,Logística,Mandos medios
Traductor,Administración,Mandos medios
Surtidor de materias primas,Operativo,Operativo
Técnico instalador,Operativo,Operativo
Analista contable,Logística,Operativo
Auxiliar de mantenimiento,Operativo,Operativo
Ayudante de limpieza,Operativo,Operativo
Operador de Producción,Producción,Operativo
Operador de montacargas para manipulación de material,Operativo,Operativo
Chofer vendedor,Publicidad y Mercadotecnia,Técnico
Recepcionista de hospital,Administración,Operativo
Almacenista de materia prima,Operativo,Operativo
Guardia de seguridad,Recursos humanos,Operativo
PERSONAL DE LIMPIEZA,Operativo,Operativo
COORDINADOR DE NOMINAS,Recursos humanos,Mandos medios
Empleado de contabilidad,Finanzas y Contabilidad,Mandos medios
Topógrafo,Operativo,Operativo
Auxiliar técnico en sistemas de seguridad,Operativo,Operativo
Auxiliar contable,Finanzas y Contabilidad,Operativo
vendedor Fonráneao,Comercialización,Técnico especializado
Analista de mercados aglicolas,Comercialización,Técnico especializado
Supervisor de calidad,Producción,Mandos medios
AYUDANTE VENDEDOR AGUA,Comercialización,Operativo
Picker,Operativo,Operativo
Instalador de GPS,Informática,Operativo
Vigilante,Operativo,Operativo
Cortador de madera ,Producción,Operativo
Ejecutivo de ventas,Comercialización,Mandos medios
Operador de transporte público,Operativo,Operativo
EJECUTIVO DE VENTAS ,Comercialización,Técnico especializado
Operador de máquina para lavandería,Operativo,Operativo
Técnico en refrigeración y aires acondicionados,Operaciones ,Técnico especializado
Operador de torton,Logística,Operativo
Auxiliar control de producción,Logística,Mandos medios
Supervisor Administrativo,Administración,Mandos medios
ADMINISTRADOR E IMPLEMENTADOR DE SISTEMAS IT,Informática,Técnico especializado
Mesero,Producción,Operativo
Operador de inyectora de plástico,Operativo,Operativo
Cajero de tienda de autoservicio,Producción,Operativo
Vendedor/a de mostrador,Operativo,Operativo
Auxiliar contable,Finanzas y Contabilidad,Técnico
Atención al cliente,Comercialización,Practicante
Administracion y Recruso Humano,Administración,Practicante
Operador de estacionamiento,Administración,Operativo
Auxiliar general de embarque,Logística,Operativo
Cocinero de comida fría,Producción,Operativo
Auxiliar de lacteos y congelados,Operativo,Operativo
Picker,Operativo,Operativo
Chofer vendedor,Comercialización,Operativo
CONTADOR,Administración,GERENCIAL
Becario administrativo,Producción,Practicante
Guardia de seguridad,Operativo,Operativo
